entity,revenue
E1,1000
E2,50
E3,48
E4,47
E5,46
E6,45
E7,44
E8,43
E9,42
E10,41
E11,40
E12,39
E13,38
E14,37
E15,36
E16,35
E17,34
E18,33
E19,32
E20,31
E21,30
E22,29
E23,28
E24,27
E25,26
E26,25
E27,24
E28,23
E29,22
E30,21
E31,20
E32,19
E33,18
E34,17
E35,16
E36,15
E37,14
E38,13
E39,12
E40,11
E41,10
E42,9
E43,8
E44,7
E45,6
E46,5
E47,4
E48,3
E49,2
E50,1
E51,1
E52,1
E53,1
E54,1
E55,1
E56,1
E57,1
E58,1
E59,1
E60,1
E61,1
E62,1
E63,1
E64,1
E65,1
E66,1
E67,1
E68,1
E69,1
E70,1
E71,1
E72,1
E73,1
E74,1
E75,1
E76,1
E77,1
E78,1
E79,1
E80,1
E81,1
E82,1
E83,1
E84,1
E85,1
E86,1
E87,1
E88,1
E89,1
E90,1
E91,1
E92,1
E93,1
E94,1
E95,1
E96,1
E97,1
E98,1
E99,1
E100,1
